assay,roc_auc,f1,precision,recall,n_train,n_positive,scale_pos_weight
SR-MMP,0.9377056103849916,0.6912928759894459,0.6717948717948717,0.7119565217391305,4648,918,5.328976034858388
NR-AhR,0.8993955871118501,0.6118980169971672,0.542713567839196,0.7012987012987013,5239,768,7.52734375
NR-Aromatase,0.8759426847662143,0.5137614678899083,0.5714285714285714,0.4666666666666667,4656,300,18.403333333333332
SR-ATAD5,0.8755437342420969,0.42,0.44680851063829785,0.39622641509433965,5657,264,25.78787878787879
SR-p53,0.8725057897174617,0.40437158469945356,0.37755102040816324,0.43529411764705883,5419,423,15.01418439716312
NR-PPAR-gamma,0.8561506438601411,0.38095238095238093,0.46153846153846156,0.32432432432432434,5160,186,33.67741935483871
SR-ARE,0.852661204442223,0.5625,0.5131578947368421,0.6223404255319149,4665,942,5.191082802547771
NR-ER-LBD,0.8073321077106088,0.46875,0.5172413793103449,0.42857142857142855,5564,350,18.87142857142857
NR-AR-LBD,0.7994782750468737,0.5897435897435898,0.7419354838709677,0.48936170212765956,5406,237,27.514767932489452
SR-HSE,0.7896544085068675,0.3888888888888889,0.4,0.3783783783783784,5173,372,16.384408602150536
NR-AR,0.7587718281115929,0.4485981308411215,0.5333333333333333,0.3870967741935484,5812,309,22.511326860841425
NR-ER,0.6902341020265548,0.41358024691358025,0.40606060606060607,0.42138364779874216,4954,793,6.809583858764187
